variable,group,value
ESTP,Action,11.30931145
ESTJ,Action,8.776311095
ISTJ,Action,7.813057438
ISFP,Action,6.921155904
ESFP,Action,6.778451659
ISFJ,Action,5.743845879
ISTP,Action,10.09632537
ESFJ,Action,4.174099179
ENTP,Action,5.957902248
INFP,Action,2.88976097
ENFP,Action,3.781662504
INFJ,Action,4.851944345
ENTJ,Action,6.707099536
INTJ,Action,5.636817695
ENFJ,Action,3.710310382
INTP,Action,4.851944345
ESTP,Adventure,8.602442334
ESTJ,Adventure,8.629579376
ISTJ,Adventure,7.76119403
ISFP,Adventure,6.214382632
ESFP,Adventure,7.354138399
ISFJ,Adventure,7.516960651
ISTP,Adventure,6.18724559
ESFJ,Adventure,6.404341927
ENTP,Adventure,6.947082768
INFP,Adventure,5.156037992
ENFP,Adventure,5.590230665
INFJ,Adventure,5.725915875
ENTJ,Adventure,4.667571235
INTJ,Adventure,4.857530529
ENFJ,Adventure,3.717774763
INTP,Adventure,4.667571235
ESTP,Animation,7.870142646
ESTJ,Animation,7.624200689
ISTJ,Animation,7.771765863
ISFP,Animation,6.738809641
ESFP,Animation,8.558780128
ISFJ,Animation,8.31283817
ISTP,Animation,6.197737334
ESFJ,Animation,5.361534678
ENTP,Animation,6.837186424
INFP,Animation,6.148548942
ENFP,Animation,6.640432858
INFJ,Animation,4.47614363
ENTJ,Animation,4.869650762
INTJ,Animation,4.869650762
ENFJ,Animation,4.230201672
INTP,Animation,3.492375799
ESTP,Biography,10.19607843
ESTJ,Biography,7.843137255
ISTJ,Biography,9.411764706
ISFP,Biography,9.411764706
ESFP,Biography,8.235294118
ISFJ,Biography,6.666666667
ISTP,Biography,7.450980392
ESFJ,Biography,5.098039216
ENTP,Biography,3.137254902
INFP,Biography,4.705882353
ENFP,Biography,4.31372549
INFJ,Biography,4.705882353
ENTJ,Biography,6.274509804
INTJ,Biography,4.31372549
ENFJ,Biography,5.882352941
INTP,Biography,2.352941176
ESTP,Comedy,9.701159679
ESTJ,Comedy,7.939339875
ISTJ,Comedy,6.043710972
ISFP,Comedy,7.560214095
ESFP,Comedy,9.478144514
ISFJ,Comedy,8.206958073
ISTP,Comedy,5.798394291
ESFJ,Comedy,7.582515611
ENTP,Comedy,6.467439786
INFP,Comedy,6.155218555
ENFP,Comedy,6.578947368
INFJ,Comedy,3.367528992
ENTJ,Comedy,4.393398751
INTJ,Comedy,2.988403211
ENFJ,Comedy,3.746654773
INTP,Comedy,3.991971454
ESTP,Documentary,4.580152672
ESTJ,Documentary,6.106870229
ISTJ,Documentary,8.396946565
ISFP,Documentary,8.396946565
ESFP,Documentary,3.053435115
ISFJ,Documentary,5.34351145
ISTP,Documentary,9.923664122
ESFJ,Documentary,5.34351145
ENTP,Documentary,7.633587786
INFP,Documentary,9.923664122
ENFP,Documentary,6.106870229
INFJ,Documentary,7.633587786
ENTJ,Documentary,6.870229008
INTJ,Documentary,6.870229008
ENFJ,Documentary,2.290076336
INTP,Documentary,1.526717557
ESTP,Drama,8.614457831
ESTJ,Drama,8.087349398
ISTJ,Drama,7.695783133
ISFP,Drama,8.373493976
ESFP,Drama,7.665662651
ISFJ,Drama,8.358433735
ISTP,Drama,6.25
ESFJ,Drama,5.978915663
ENTP,Drama,5.165662651
INFP,Drama,6.777108434
ENFP,Drama,5.240963855
INFJ,Drama,5.376506024
ENTJ,Drama,4.563253012
INTJ,Drama,4.21686747
ENFJ,Drama,4.412650602
INTP,Drama,3.222891566
ESTP,Fantasy,7.578397213
ESTJ,Fantasy,9.204413473
ISTJ,Fantasy,6.707317073
ISFP,Fantasy,6.794425087
ESFP,Fantasy,7.694541231
ISFJ,Fantasy,7.868757259
ISTP,Fantasy,4.907084785
ESFJ,Fantasy,7.288037166
ENTP,Fantasy,6.852497096
INFP,Fantasy,6.794425087
ENFP,Fantasy,5.952380952
INFJ,Fantasy,5.778164925
ENTJ,Fantasy,4.239256678
INTJ,Fantasy,4.616724739
ENFJ,Fantasy,3.68757259
INTP,Fantasy,4.036004646
ESTP,History,9.389671362
ESTJ,History,10.79812207
ISTJ,History,10.79812207
ISFP,History,9.85915493
ESFP,History,7.981220657
ISFJ,History,7.981220657
ISTP,History,7.042253521
ESFJ,History,5.164319249
ENTP,History,4.694835681
INFP,History,2.816901408
ENFP,History,3.286384977
INFJ,History,6.572769953
ENTJ,History,5.633802817
INTJ,History,1.877934272
ENFJ,History,4.694835681
INTP,History,1.408450704
ESTP,Mystery,8.558842039
ESTJ,Mystery,10.82441787
ISTJ,Mystery,8.118313405
ISFP,Mystery,6.796727502
ESFP,Mystery,6.041535557
ISFJ,Mystery,7.740717432
ISTP,Mystery,6.73379484
ESFJ,Mystery,7.300188798
ENTP,Mystery,6.482064191
INFP,Mystery,4.719949654
ENFP,Mystery,4.531151668
INFJ,Mystery,5.726872247
ENTJ,Mystery,3.964757709
INTJ,Mystery,5.412208936
ENFJ,Mystery,2.517306482
INTP,Mystery,4.531151668
ESTP,Romantic Comedy,10.23541453
ESTJ,Romantic Comedy,6.960081883
ISTJ,Romantic Comedy,4.912998976
ISFP,Romantic Comedy,7.164790174
ESFP,Romantic Comedy,9.928352098
ISFJ,Romantic Comedy,8.597748209
ISTP,Romantic Comedy,3.991811668
ESFJ,Romantic Comedy,9.928352098
ENTP,Romantic Comedy,7.164790174
INFP,Romantic Comedy,7.676560901
ENFP,Romantic Comedy,8.188331627
INFJ,Romantic Comedy,3.889457523
ENTJ,Romantic Comedy,3.172978506
INTJ,Romantic Comedy,1.637666325
ENFJ,Romantic Comedy,3.889457523
INTP,Romantic Comedy,2.661207779
ESTP,Thriller,10.14211886
ESTJ,Thriller,7.46124031
ISTJ,Thriller,8.171834625
ISFP,Thriller,6.782945736
ESFP,Thriller,6.427648579
ISFJ,Thriller,6.233850129
ISTP,Thriller,10.10981912
ESFJ,Thriller,4.263565891
ENTP,Thriller,6.072351421
INFP,Thriller,4.489664083
ENFP,Thriller,3.197674419
INFJ,Thriller,4.84496124
ENTJ,Thriller,5.749354005
INTJ,Thriller,6.233850129
ENFJ,Thriller,4.489664083
INTP,Thriller,5.329457364
